Date,Shelfmark(s),Add. Info,Book(s).(chapter),Locus,Place,Institution,DOI,URL,Licence (images)
5th,MSXXVIII(26),,41213,,Verona,Biblioteca Capitolare,TM66599,www.trismegistos.org/text/66599,
5th-6th,C238,,,1-2v; 173-174v,Milano,Biblioteca Ambrosiana,TM66422,www.trismegistos.org/text/66422,
5th-6th,E26,,,,Milano,Biblioteca Ambrosiana,TM 66422,www.trismegistos.org/text/66422,
5th-6th,F.III.8,,,,Torino,Biblioteca Nazionale,TM 66422,www.trismegistos.org/text/66422,
5th-6th,Ms. Lat. 55,,"5.20-21, 26",,Paris,Institut Catholique de Paris,TM68719,www.trismegistos.org/text/68719,
6th,MS 607,,,,Lyon,Bibliothèque Municipale,N/A,http://florus.bm-lyon.fr/visualisation.php?cote=MS0607&vue=5,
6th,Lat. 12214 (fol. 1-278); Lat. Q. v. I. 4,Codex Corbeiense,40421,,Paris; Saint Petersburg,Bibliothèque Nationale; Russian National Library,TM66802,www.trismegistos.org/text/66802,
6th,607 (523 bis),,40298,,Lyon,Bibliothèque Municipale,TM66958,www.trismegistos.org/text/66958,
550-649,353 camicia 3,,08.11.23-13.20; 08.20.2-21.51,,Bologna,Archivio della Fabbriceria della Basilica di San Petronio Cartella,TM316148,www.trismegistos.org/text/316148,
775-779,Fr.lat.9,,16.36-37,1r-v,Dillingen,Studienbibliothek,TM68670,www.trismegistos.org/text/68670,
8th,Frag. N.I.4.2,,,,Basel,Universitätsbibliothek,TM66991,www.trismegistos.org/text/66991,
8th,483 (12),,,1r-1v,Freiburg,Universitätsbibliothek,TM66991,,
8th,131,,,,Orléans,Bibliothèque Municipale,,,
8th-9th,SDL-Hss XV Fragm. 9,XV Fragm. 9,,,Dillingen,Studienbibliothek,urn:nbn:de:bvb:12-bsb00005828-4,http://daten.digitale-sammlungen.de/~db/0000/bsb00005828/images/index.html?seite=00001&l=en,
8th-9th,Harley 4980,,16.8-10; 16.15-16,1-2v,London,British Library,TM66306,http://prodigi.bl.uk/illcat/record.asp?MSID=7388&CollID=8&NStart=4980,
8th-9th (750-850),9641 (1145),,,,Bruxelles,Bibliothèque Royale,TM67711,www.trismegistos.org/text/67711,
first quarter 9th,Codex 75,,40451,,Köln,Dombibliothek,,http://www.ceec.uni-koeln.de/ceec-cgi/kleioc/0010/exec/pagesma/%22kn28-0075_001.jpg%22/segment/%22body%22,
first half 9th,Paris lat. 12215,Codex Corbeiense,16-22,,,,,,
first half 9th,Angers 161,Codex Albinensis,16-22,,,,,,
first half 9th,Sessorianus 74 (1307),,40458,,Roma,Biblioteca Nazionale Centrale,,,
first half 9th,75,,40451,,Köln,Dombibliothek,,,
first half 9th,Sessorianus 70 (1557),,41213,,Roma,Biblioteca Nazionale Centrale,,,
first half 9th,Pal.lat.200,,18-22,,Città del Vaticano,Biblioteca Apostolica Vaticana,,,
first half 9th,Cod. Aa 9,,20; 22,43v-101; 102-167v,Fulda,Hessiche Landesbibliothek,,,
first half 9th,Auf.fr.112 (olim. Aug.fr.99a),,11.32-34,,Karlsruhe,Badische Landesbibliothek,,,
first half 9th,Voss. lat. qu. 12,,19.15-17,80v-81v,Leiden,Bibliotheek der Rijksuniversiteit,,,
first half 9th,2° Cod. ms. 87a,,22.3,1r-1v,München,Universitätsbibliothek,,,
800-870,lat. 2730,,11.15,69-70v,Paris,Bibliothèque Nationale,,,
mid 9th,Cod. Sang. 177,,40178,,Sankt Gallen,Stiftsbibliothek,10.5076/e-codices-csg-0177,http://www.e-codices.unifr.ch/en/list/one/csg/0177,CC-BY-NC
mid 9th,Cod. Sang. 178,,43404,,Sankt Gallen,Stiftsbibliothek,10.5076/e-codices-csg-0178,http://www.e-codices.unifr.ch/en/list/one/csg/0178,CC-BY-NC
